OrderID,CustomerID,Region,Category,ProductName,Quantity,UnitPrice,Revenue,OrderDate,BillingStatus,TicketOpenDate,TicketCloseDate,Month,DaysToClose,ClosedWithin7
ORD-1000,CUST-029,North,Time & Materials,On-site Repair,4,322.1,1288.4,2024-02-22,Overdue,2024-02-22,2024-03-05,2024-02,12,False
ORD-1001,CUST-140,North,Equipment,Sensor Unit,1,232.71,232.71,2024-04-29,Overdue,2024-04-29,2024-05-09,2024-04,10,False
ORD-1002,CUST-007,South,Equipment,Sensor Unit,8,1199.07,9592.56,2024-01-04,Billed,2024-01-04,2024-01-16,2024-01,12,False
ORD-1003,CUST-109,East,Time & Materials,On-site Repair,4,1916.57,7666.28,2024-06-21,Billed,2024-06-21,2024-06-23,2024-06,2,True
ORD-1004,CUST-098,North,Time & Materials,Remote Support,10,565.82,5658.2,2024-01-23,Overdue,2024-01-23,2024-01-31,2024-01,8,False
ORD-1005,CUST-138,North,Equipment,Sensor Unit,9,621.7,5595.3,2024-11-17,Overdue,2024-11-17,2024-12-01,2024-11,14,False
ORD-1006,CUST-093,South,Spare Parts,Filter Unit,4,1557.48,6229.92,2024-02-10,Billed,2024-02-10,2024-02-24,2024-02,14,False
ORD-1007,CUST-026,West,Time & Materials,Remote Support,6,367.18,2203.08,2024-06-30,Billed,2024-06-30,2024-07-11,2024-06,11,False
ORD-1008,CUST-069,North,Service Contract,Enterprise Plan,4,368.63,1474.52,2024-07-13,Pending,2024-07-13,2024-07-24,2024-07,11,False
ORD-1009,CUST-143,South,Time & Materials,On-site Repair,4,1652.52,6610.08,2024-06-10,Pending,2024-06-10,2024-06-15,2024-06,5,True
ORD-1010,CUST-017,South,Time & Materials,On-site Repair,8,821.48,6571.84,2024-11-25,Pending,2024-11-25,2024-11-28,2024-11,3,True
ORD-1011,CUST-068,South,Service Contract,Enterprise Plan,9,1101.01,9909.09,2024-10-26,Pending,2024-10-26,2024-11-05,2024-10,10,False
ORD-1012,CUST-103,East,Service Contract,Basic Plan,9,1012.36,9111.24,2024-01-25,Billed,2024-01-25,2024-01-28,2024-01,3,True
ORD-1013,CUST-041,West,Spare Parts,Valve Kit,7,1211.98,8483.86,2024-08-27,Overdue,2024-08-27,2024-09-01,2024-08,5,True
ORD-1014,CUST-142,North,Spare Parts,Control Board,6,267.53,1605.18,2024-08-10,Billed,2024-08-10,2024-08-18,2024-08,8,False
ORD-1015,CUST-001,East,Service Contract,Enterprise Plan,2,1747.51,3495.02,2024-06-01,Overdue,2024-06-01,2024-06-10,2024-06,9,False
ORD-1016,CUST-051,South,Time & Materials,On-site Repair,9,1909.32,17183.88,2024-09-28,Billed,2024-09-28,2024-10-08,2024-09,10,False
ORD-1017,CUST-083,West,Spare Parts,Filter Unit,6,1763.51,10581.06,2024-06-06,Billed,2024-06-06,2024-06-07,2024-06,1,True
ORD-1018,CUST-062,North,Spare Parts,Valve Kit,2,1957.07,3914.14,2024-09-29,Billed,2024-09-29,2024-10-02,2024-09,3,True
ORD-1019,CUST-122,South,Time & Materials,Inspection Visit,10,875.12,8751.2,2024-04-18,Overdue,2024-04-18,2024-05-01,2024-04,13,False
ORD-1020,CUST-052,East,Equipment,Display Panel,6,904.3,5425.8,2024-09-21,Pending,2024-09-21,2024-09-23,2024-09,2,True
ORD-1021,CUST-064,South,Spare Parts,Control Board,1,1197.2,1197.2,2024-04-27,Overdue,2024-04-27,2024-05-01,2024-04,4,True
ORD-1022,CUST-002,North,Spare Parts,Pump Seal,2,1815.57,3631.14,2024-06-18,Billed,2024-06-18,2024-06-27,2024-06,9,False
ORD-1023,CUST-061,East,Equipment,Sensor Unit,9,308.01,2772.09,2024-10-19,Overdue,2024-10-19,2024-10-27,2024-10,8,False
ORD-1024,CUST-063,West,Equipment,Sensor Unit,2,239.02,478.04,2024-08-08,Pending,2024-08-08,2024-08-15,2024-08,7,True
ORD-1025,CUST-106,West,Spare Parts,Filter Unit,1,835.11,835.11,2024-06-22,Billed,2024-06-22,2024-06-26,2024-06,4,True
ORD-1026,CUST-050,South,Equipment,Sensor Unit,7,407.8,2854.6,2024-08-24,Billed,2024-08-24,2024-09-07,2024-08,14,False
ORD-1027,CUST-020,West,Spare Parts,Filter Unit,9,1680.25,15122.25,2024-02-17,Billed,2024-02-17,2024-02-20,2024-02,3,True
ORD-1028,CUST-105,West,Equipment,Sensor Unit,7,1809.76,12668.32,2024-03-25,Pending,2024-03-25,2024-03-26,2024-03,1,True
ORD-1029,CUST-100,East,Equipment,Motor Assembly,7,1408.35,9858.45,2024-10-11,Overdue,2024-10-11,2024-10-23,2024-10,12,False
ORD-1030,CUST-125,South,Service Contract,Premium Plan,4,1938.98,7755.92,2024-10-23,Overdue,2024-10-23,2024-11-01,2024-10,9,False
ORD-1031,CUST-016,East,Spare Parts,Filter Unit,10,979.74,9797.4,2024-09-28,Billed,2024-09-28,2024-09-29,2024-09,1,True
ORD-1032,CUST-131,North,Service Contract,Basic Plan,10,182.52,1825.2,2024-04-30,Pending,2024-04-30,2024-05-02,2024-04,2,True
ORD-1033,CUST-146,South,Spare Parts,Filter Unit,7,1331.88,9323.16,2024-10-16,Overdue,2024-10-16,2024-10-22,2024-10,6,True
ORD-1034,CUST-067,South,Time & Materials,On-site Repair,5,821.78,4108.9,2024-12-09,Overdue,2024-12-09,2024-12-14,2024-12,5,True
ORD-1035,CUST-118,East,Spare Parts,Filter Unit,8,1261.26,10090.08,2024-10-15,Billed,2024-10-15,2024-10-17,2024-10,2,True
ORD-1036,CUST-138,South,Time & Materials,On-site Repair,6,1767.69,10606.14,2024-05-05,Pending,2024-05-05,2024-05-10,2024-05,5,True
ORD-1037,CUST-041,West,Time & Materials,Inspection Visit,9,65.26,587.34,2024-10-10,Pending,2024-10-10,2024-10-21,2024-10,11,False
ORD-1038,CUST-027,South,Time & Materials,On-site Repair,2,1497.71,2995.42,2024-03-20,Pending,2024-03-20,2024-03-25,2024-03,5,True
ORD-1039,CUST-054,East,Service Contract,Enterprise Plan,5,1035.55,5177.75,2024-05-08,Billed,2024-05-08,2024-05-10,2024-05,2,True
ORD-1040,CUST-109,East,Spare Parts,Filter Unit,6,1553.68,9322.08,2024-11-22,Pending,2024-11-22,2024-11-25,2024-11,3,True
ORD-1041,CUST-114,West,Spare Parts,Filter Unit,2,1892.85,3785.7,2024-12-19,Billed,2024-12-19,2024-12-28,2024-12,9,False
ORD-1042,CUST-010,East,Service Contract,Premium Plan,3,131.57,394.71,2024-07-05,Billed,2024-07-05,2024-07-11,2024-07,6,True
ORD-1043,CUST-054,South,Spare Parts,Control Board,9,1774.06,15966.54,2024-07-27,Overdue,2024-07-27,2024-08-08,2024-07,12,False
ORD-1044,CUST-040,South,Service Contract,Basic Plan,7,98.33,688.31,2024-06-19,Pending,2024-06-19,2024-07-02,2024-06,13,False
ORD-1045,CUST-064,East,Service Contract,Enterprise Plan,2,795.96,1591.92,2024-01-20,Pending,2024-01-20,2024-01-24,2024-01,4,True
ORD-1046,CUST-052,West,Time & Materials,Remote Support,4,484.7,1938.8,2024-12-03,Billed,2024-12-03,2024-12-10,2024-12,7,True
ORD-1047,CUST-085,East,Spare Parts,Control Board,6,1300.89,7805.34,2024-07-23,Overdue,2024-07-23,2024-08-06,2024-07,14,False
ORD-1048,CUST-138,East,Spare Parts,Filter Unit,5,398.21,1991.05,2024-05-15,Billed,2024-05-15,2024-05-17,2024-05,2,True
ORD-1049,CUST-112,East,Time & Materials,Remote Support,10,1969.26,19692.6,2024-02-29,Pending,2024-02-29,2024-03-10,2024-02,10,False
ORD-1050,CUST-049,East,Spare Parts,Valve Kit,1,1063.84,1063.84,2024-10-02,Overdue,2024-10-02,2024-10-14,2024-10,12,False
ORD-1051,CUST-051,East,Equipment,Sensor Unit,6,1265.15,7590.9,2024-12-05,Billed,2024-12-05,2024-12-17,2024-12,12,False
ORD-1052,CUST-077,East,Equipment,Motor Assembly,7,1409.56,9866.92,2024-10-10,Billed,2024-10-10,2024-10-14,2024-10,4,True
ORD-1053,CUST-108,West,Service Contract,Enterprise Plan,10,636.85,6368.5,2024-10-07,Billed,2024-10-07,2024-10-12,2024-10,5,True
ORD-1054,CUST-074,South,Equipment,Display Panel,10,1326.68,13266.8,2024-08-26,Pending,2024-08-26,2024-09-03,2024-08,8,False
ORD-1055,CUST-055,West,Service Contract,Enterprise Plan,2,603.38,1206.76,2024-12-05,Overdue,2024-12-05,2024-12-15,2024-12,10,False
ORD-1056,CUST-086,North,Service Contract,Enterprise Plan,5,488.05,2440.25,2024-04-11,Billed,2024-04-11,2024-04-12,2024-04,1,True
ORD-1057,CUST-012,South,Equipment,Display Panel,2,938.06,1876.12,2024-11-18,Overdue,2024-11-18,2024-11-22,2024-11,4,True
ORD-1058,CUST-099,West,Equipment,Sensor Unit,3,1329.31,3987.93,2024-01-03,Billed,2024-01-03,2024-01-16,2024-01,13,False
ORD-1059,CUST-109,South,Service Contract,Enterprise Plan,9,955.87,8602.83,2024-10-12,Billed,2024-10-12,2024-10-26,2024-10,14,False
ORD-1060,CUST-032,West,Service Contract,Premium Plan,9,1976.39,17787.51,2024-10-31,Pending,2024-10-31,2024-11-13,2024-10,13,False
ORD-1061,CUST-114,West,Equipment,Sensor Unit,8,927.64,7421.12,2024-05-06,Overdue,2024-05-06,2024-05-11,2024-05,5,True
ORD-1062,CUST-134,West,Service Contract,Premium Plan,8,201.09,1608.72,2024-05-26,Billed,2024-05-26,2024-05-31,2024-05,5,True
ORD-1063,CUST-086,East,Spare Parts,Pump Seal,3,500.96,1502.88,2024-12-21,Billed,2024-12-21,2025-01-02,2024-12,12,False
